nregistro,nombre,principios_activos,pdf_url
73046,ACIDO IBANDRONICO SANDOZ 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido ibandrónico,https://cima.aemps.es/cima/pdfs/ft/73046/FT_73046.pdf
74639,ACIDO IBANDRONICO STADA 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido ibandrónico,https://cima.aemps.es/cima/pdfs/ft/74639/FT_74639.pdf
78183,ACIDO IBANDRONICO TECNIGEN 150 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido ibandrónico,https://cima.aemps.es/cima/pdfs/ft/78183/FT_78183.pdf
79535,ACIDO MICOFENOLICO STADA 180 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido micofenólico,https://cima.aemps.es/cima/pdfs/ft/79535/FT_79535.pdf
79536,ACIDO MICOFENOLICO STADA 360 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido micofenólico,https://cima.aemps.es/cima/pdfs/ft/79536/FT_79536.pdf
77502,ACIDOS OMEGA 3 NTC 1.000 MG CAPSULAS BLANDAS EFG,ácidos omega-3 ésteres etílicos,https://cima.aemps.es/cima/pdfs/ft/77502/FT_77502.pdf
76326,ACIDOS OMEGA 3 TARBIS 1.000 MG CAPSULAS BLANDAS EFG,ácidos omega-3 ésteres etílicos,https://cima.aemps.es/cima/pdfs/ft/76326/FT_76326.pdf
77451,ACIDOS OMEGA-3 CINFA 1000 MG CAPSULAS BLANDAS EFG,ácidos omega-3 ésteres etílicos,https://cima.aemps.es/cima/pdfs/ft/77451/FT_77451.pdf
69661,ACOMICIL 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,topiramato,https://cima.aemps.es/cima/pdfs/ft/69661/FT_69661.pdf
69662,ACOMICIL 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,topiramato,https://cima.aemps.es/cima/pdfs/ft/69662/FT_69662.pdf
69659,ACOMICIL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,topiramato,https://cima.aemps.es/cima/pdfs/ft/69659/FT_69659.pdf
69660,ACOMICIL 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,topiramato,https://cima.aemps.es/cima/pdfs/ft/69660/FT_69660.pdf
84402,ACORE 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,tadalafilo,https://cima.aemps.es/cima/pdfs/ft/84402/FT_84402.pdf
